,query,semantic_search_results,bm25_search_results
0,wireless bluetooth headphones,DOBOPO Wireless Earbuds Bluetooth 5.3 Headphones 50Hrs Playtime Sports Earphones Over-Ear Earhooks H,"Wireless Earbuds,Bluetooth Headphones IPX7 Waterproof Wireless Bluetooth Earphone with Microphone Ch"
1,wireless bluetooth headphones,Beats BT ON WIRELS BLK Wireless On-Ear Headphone (Black-Discontinued by Manufacturer),Beats BT ON WIRELS BLK Wireless On-Ear Headphone (Black-Discontinued by Manufacturer)
2,wireless bluetooth headphones,"Wireless Earbuds,Bluetooth Headphones IPX7 Waterproof Wireless Bluetooth Earphone with Microphone Ch",DOBOPO Wireless Earbuds Bluetooth 5.3 Headphones 50Hrs Playtime Sports Earphones Over-Ear Earhooks H
3,wireless bluetooth headphones,SoundBot SB221 HD Wireless Bluetooth 4.0 Headset Sports-Active Headphone for 20Hrs Music Streaming &,"JVC HAF250BTB in-Ear Headphone, Bluetooth, Gumy - Black"
4,wireless bluetooth headphones,Long Range Bluetooth Adapter 2.0 for car V2.0 EDR Support Windows8.1(Sky Blue),Parrot Zik 2.0 Wireless Noise Cancelling Headphones (Black)
5,1080p gaming monitor,"Sceptre IPS 27"" 4K UHD LED Monitor up to 75Hz DIsplayPort HDMI DVI Build-in Speakers, Frameless Mach","ASUS TUF Gaming 23.8” 1080P Monitor (VG249Q1R) - Full HD, IPS, 165Hz (Supports 144Hz), 1ms, Extreme "
6,1080p gaming monitor,"ASUS TUF Gaming 23.8” 1080P Monitor (VG249Q1R) - Full HD, IPS, 165Hz (Supports 144Hz), 1ms, Extreme ","Sceptre IPS 27"" 4K UHD LED Monitor up to 75Hz DIsplayPort HDMI DVI Build-in Speakers, Frameless Mach"
7,1080p gaming monitor,"Acer XG270HU omidpx 27-inch WQHD AMD FREESYNC (2560 x 1440) Widescreen Monitor, WQHD (2560 x 1440), ","Acer XG270HU omidpx 27-inch WQHD AMD FREESYNC (2560 x 1440) Widescreen Monitor, WQHD (2560 x 1440), "
8,1080p gaming monitor,Sapphire Radeon Nitro+ Rx 480 4GB GDDR5 Dual HDMI/DVI-D/Dual DP OC with Backplate (UEFI) PCI-E Graph,Razer Kiyo: Full HD 1080p 30FPS/720p 60FPS Computer Camera - Built-in Adjustable LED Ring Light Webc
9,1080p gaming monitor,"Anbear DisplayPort to HDMI Adapter, Display Port to HDMI Cable(Male to Female) for DisplayPort Enabl","BenQ ScreenBar Monitor Light, LED Computer, Auto-Dimming, Hue Adjustment Features, E-Reading USB Pow"
10,13 inch chromebook,"ASUS C300 ChromeBook 13.3 Inch (Intel Celeron, 2 GB, 16GB SSD, Red)",Belkin 11 Inch Laptop Case - 11 Inch Laptop Sleeve - Laptop Bag - Computer Accessories For Chromeboo
11,13 inch chromebook,Belkin 11 Inch Laptop Case - 11 Inch Laptop Sleeve - Laptop Bag - Computer Accessories For Chromeboo,90W/65W USB C Charger Power Adapter for HP Spectre x360 13-AE015DX 15-bl000; Dell LA90PM170 0TDK33 T
12,13 inch chromebook,Gumdrop Cases Droptech Chromebook Case for HP Chromebook 11 G5 EE Rugged Shock Absorbing Cover Black,"ASUS C300 ChromeBook 13.3 Inch (Intel Celeron, 2 GB, 16GB SSD, Red)"
13,13 inch chromebook,"ASUS Zenbook ux305ca 13.3 inch QHD Plus Touchscreen Laptop, 6th Gen Intel Core M, 8 GB RAM, 256 GB S","USB C to HDMI Adapter, USB Type C to HD 4K 1080p HDMI Adapter (Thunderbolt 3 Compatible) by Gecen, C"
14,13 inch chromebook,Acer Notebook NX.V7MAA.009;TMP633-M-6613 13.3-Inch Laptop,"Kensington SD4500 USB-C Docking Station for 2015/2016 MacBook Retina 12”, Dell XPS 13” 9350/XPS 15” "
15,noise cancelling headphones,"Avantree ANC032 Active Noise Cancelling Headphones Over Ear with Microphone for Home Office, Confere","Avantree ANC032 Active Noise Cancelling Headphones Over Ear with Microphone for Home Office, Confere"
16,noise cancelling headphones,House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black),Parrot Zik 2.0 Wireless Noise Cancelling Headphones (Black)
17,noise cancelling headphones,Audeze LCD-X Over Ear Open Back Headphone with New Suspension Headband and Travel case,"Wireless Earbud, Sport Bluetooth 5.3 Earbud with Earhook Wireless Earphones in-Ear with Immersive So"
18,noise cancelling headphones,RevoNext In Ear Monitor Earbuds Wired HiFi Stereo Wired Headphones Noise Isolating QT5 Dual Driver M,House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black)
19,noise cancelling headphones,Jabra STONE Bluetooth Headset with Extreme-Noise Blocking (Discontinued by Manufacturer),"Wireless Earbuds,Bluetooth Headphones IPX7 Waterproof Wireless Bluetooth Earphone with Microphone Ch"
20,high performance work laptop,Acer Notebook NX.V7MAA.009;TMP633-M-6613 13.3-Inch Laptop,"AINOPE [2 Pack] USB 3.0 Cable, USB to USB Cable, USB A Male to Male Cable [1.5FT+ 1.5FT] [Never Rupt"
21,high performance work laptop,"Lenovo 15.6"" HD Premium Laptop, Intel Pentium Silver N5000 Quad-Core (Beat Intel i3-7100U), 8GB DDR4","Printer Cable, ShineKee 25ft USB 2.0 High Speed Gold-Plated Connectors Printer Scanner Cable Cord A "
22,high performance work laptop,"Acer Aspire 5 A515-46-R3CZ Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 7 3700U Quad-Core Mobile Proc",Kingston Technology HyperX Impact  32GB 2933MHz DDR4 CL17 SODIMM (Kit of 2) Memory HX429S17IBK2/32
23,high performance work laptop,Sony VAIO T Series SVT13132PXS 13.3-Inch Ultrabook (Silver),"Acer Aspire 5 A515-46-R3CZ Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 7 3700U Quad-Core Mobile Proc"
24,high performance work laptop,"ASUS C300 ChromeBook 13.3 Inch (Intel Celeron, 2 GB, 16GB SSD, Red)","ICE COOREL Laptop Cooling Pad with 6 Cooling Fans, Laptop Fan Cooling Pad for 14-17 Inch, Gaming Lap"
25,super fast wireless charger,iPhone Charger Nylon Braided 5 Pack (3/3/6/6/10FT) MFi Certified Lightning Cable High Speed USB Fast,ilikable MFi Certified iPhone Cable 6FT 3Pack Nylon Braided iPhone Charger Cord Charger Cable Compat
26,super fast wireless charger,Netgear AC1600 Smart WiFi 802.11ac Dual Band Gigabit Router R6250 (Renewed),"Power Strip, Surge Protector with 4 AC Outlets and 4 USB Charging Ports, 6 Feet Long Extension Cord "
27,super fast wireless charger,TPLTECH [UL Listed] Extra Long 5 Ft 2A AC Adapter Rapid Power Charger Compatible RCA 10 Viking II RC,Jabra STONE Bluetooth Headset with Extreme-Noise Blocking (Discontinued by Manufacturer)
28,super fast wireless charger,"AINOPE USB C to USB C Cable,[2-Pack 10ft][Never Rupture] USB C Cable 60W 3.1A Type C Charger Cord Co",Soarking Charging Base for Sonos Move with 45W Adapter and 6.6 Feet Cable(White)
29,super fast wireless charger,"USB Type C Cable, Anker [2-Pack 6Ft] Premium Nylon USB-C to USB-A Fast Charging Type C Cable, for Sa","PANASONIC Lumix FZ80 4K 18.1MP Point & Shoot Digital Camera, 60X 20-1200mm Lens, WiFi, Black Bundle "
30,battery pack for charging laptops,"Universal Laptop Charger with LCD- Premium Quality, 45W Ultra Slim - AC Adapter Power Supply Cord wi","USB C to USB C Cable 60W, [3.3Ft 2 Pack] UPoweradd Fast Charging Cable, Durable Braided Nylon Type C"
31,battery pack for charging laptops,Battery Pack 12cell/10.8/9000m,"Baseus 8-in-1 USB C Hub Docking Station, USB C Adapter with 4K HDMI, 3 USB 3.0, TF/SD Reader, Ethern"
32,battery pack for charging laptops,"New Laptop Battery for Dell Latitude E6320 E6330 E6220 E6230 Series, Compatible FRR0G UJ499 TPHRG KJ","OPACK Travel Laptop Backpack, Business Anti Theft Slim RFID Blocking pocket Durable 15.6 Inch Laptop"
33,battery pack for charging laptops,"Mobile Edge Professional Rolling Laptop Case, Designed for Men, Women, Business, Travel, 17.3 Inch, ","Wireless Earbuds,Bluetooth Headphones IPX7 Waterproof Wireless Bluetooth Earphone with Microphone Ch"
34,battery pack for charging laptops,Bay Valley Parts 8 Cell 5200mAh Replacement Laptop Battery for HP Pavilion GA08 480385-001 516355-00,"RUCYEN Lunch Backpack, Insulated Cooler Backpack Lunch Box for Women, 15.6 Inch RFID Blocking Laptop"
35,extension cord for usb-a to usb-c,"USB C to USB C Cable 60W, [3.3Ft 2 Pack] UPoweradd Fast Charging Cable, Durable Braided Nylon Type C","Baseus 8-in-1 USB C Hub Docking Station, USB C Adapter with 4K HDMI, 3 USB 3.0, TF/SD Reader, Ethern"
36,extension cord for usb-a to usb-c,"USB Type C Cable, Anker [2-Pack 6Ft] Premium Nylon USB-C to USB-A Fast Charging Type C Cable, for Sa","USB C to USB C Cable 60W, [3.3Ft 2 Pack] UPoweradd Fast Charging Cable, Durable Braided Nylon Type C"
