,query,semantic_search_results,bm25_search_results
0,wireless bluetooth headphones,Bluetooth headphones wireless neckband bluetooth headphones wireless earphones around the neck bluet,FORTECLEAR Bluetooth Headphones V5.3 with 13MM Microphone & Type-C Charging Case IPX7 Waterproof Dau
1,wireless bluetooth headphones,"Wireless Bluetooth Earbuds, Bluetooth 5.0 Earphones in Ear Headphones with Wireless Charging Case, P",Bluetooth headphones wireless neckband bluetooth headphones wireless earphones around the neck bluet
2,wireless bluetooth headphones,TECKNET Bluetooth Headset Wireless Headphones with Microphone AI Noise Cancelling & Mute Trucker Blu,Wireless Earbuds Bluetooth 5.3 Headphones HiFi Stereo Wireless Headphones with 4 ENC Noise Clear Can
3,wireless bluetooth headphones,"Wireless Earbuds, Bluetooth 5.2 Headphones Wireless in Ear with ENC Noise Cancelling Mic, 30H with H",FORTECLEAR Bluetooth Headphones V5.3 with 13MM Microphone & Type-C Charging Case IPX7 Waterproof Dau
4,wireless bluetooth headphones,"Energy Headphones BT5+ Bluetooth 4.0 (NFC, Control talk and line-in)",Bluetooth headphones wireless neckband bluetooth headphones wireless earphones around the neck bluet
5,1080p gaming monitor,20 Inch Computer Monitor LED 1600x900 Display Widescreen 75Hz Gaming Monitor Desktop Monitor with DC,"Computer Monitor - 2021 AUZAI 27 Inch 144Hz 1ms IPS Gaming Monitors, FHD 1080P Frameless Display, Su"
6,1080p gaming monitor,"Acer Predator X38 Pbmiphzx 2300R Curved 37.5"" UltraWide QHD+ (3840 x 1600) Gaming Monitor | NVIDIA G","Computer Monitor - 2021 AUZAI 27 Inch 144Hz 1ms IPS Gaming Monitors, FHD 1080P Frameless Display, Su"
7,1080p gaming monitor,"AOC 22"" 1080P LED Monitor",Topiacam Portable Monitor 15.6 Inch Computer Screen IPS 1920 x 1080 FHD Type-C Monitor Mini HDMI Ext
8,1080p gaming monitor,"EVGA GeForce GTX 980 4GB GAMING,Silent Cooling Graphics Card 04G-P4-1980-KR","MSI GL62 6QF-1278 15.6"" GAMING LAPTOP NOTEBOOK GTX960M Core i5-6300HQ 32GB 16GB 128GB M.2 SATA + 1TB"
9,1080p gaming monitor,"Skytech Gaming 8700k 1080TI Gaming Desktop + ASUS 24"" Gaming Monitor","Bi-Directional HDMI to DVI Adapter Converter, 2-Pack HDMI Female to DVI(24+1) Male Adapter Compatibl"
